UNITID,CEEB,ACT,ACI
100654,1003,2,
100663,1856,56,
100706,1854,53,
100724,1006,8,
100751,1830,52,
100760,715,1,
100812,706,10,
100830,1036,57,
100858,1005,11,
100937,1064,12,
101028,1187,73,
101073,1989,79,
101116,3947,N/A,
101143,1213,45,
101161,1939,35,
101189,1034,3,
101240,1262,77,
101286,1264,76,
101295,8122,83,
101301,3146,82,
101365,N/A,5126,
101435,1303,18,
101453,805,6,
101480,1736,20,
101499,1355,39,
101505,1352,47,
101514,1356,75,
101541,1349,22,
101569,1933,78,
101587,1737,24,
101602,1429,81,
101648,1447,26,
101675,1468,28,
101693,1515,29,
101709,1004,4,
101736,N/A,6747,
101879,1735,14,
101897,1576,61,
101912,1586,30,
101949,1644,55,
101994,193,N/A,
102030,1517,9,
102049,1302,16,
102058,1792,33,
102067,3338,7,
102076,1721,36,
102094,1880,59,
102234,1733,42,
102261,1723,38,
102270,1739,44,
102298,1800,46,
102313,207,6328,
102368,1738,48,
102377,1813,50,
102553,4896,137,
102580,1238,65,
102614,4866,64,
102632,4897,153,
102669,4201,62,
103778,N/A,84,
103787,N/A,6005,
104151,4007,88,
104160,4013,99,
104179,4832,96,
104346,4122,85,
104425,4097,89,
104577,4297,90,
104586,4305,149,
104708,4338,91,
104717,4331,92,
105145,N/A,100,
105154,4513,93,
105163,3598,N/A,
105172,1112,N/A,
105206,1971,148,
105297,4550,104,
105330,4006,86,
105349,325,107,
105428,4606,94,
105525,4623,101,
105589,484,5022,
105668,997,103,
105747,4755,105,
105792,4734,552,
105899,4736,106,
106102,1316,N/A,
106148,4996,98,
106245,6368,132,
106263,424,6869,
106306,7301,111,
106342,6009,112,
106397,6866,144,
106412,6004,108,
106449,8250,117,
106458,6011,116,
106467,6010,114,
106485,6007,110,
106625,N/A,4810,
106704,6012,118,
106713,788,119,
106795,N/A,6044,
106810,6131,121,
106883,847,109,
106999,N/A,5161,
107044,6267,124,
107071,6272,126,
107080,6273,128,
107123,N/A,161,
107141,6321,130,
107327,1267,129,
107460,1423,113,
107512,6549,134,
107521,N/A,6026,
107549,N/A,5161,
107558,6111,120,
107585,N/A,5531,
107600,6578,136,
107619,6583,125,
107637,N/A,5568,
107664,N/A,6364,
107725,N/A,6271,
107743,226,6207,
107840,6649,138,
107877,6658,140,
107974,1550,6609,
107983,6661,142,
107992,6704,6031,
108092,6220,122,
108250,3597,N/A,
108667,4118,238,
108807,4002,156,
108852,7024,N/A,
109086,4153,N/A,
109208,4004,158,
109350,4005,160,
109651,4009,164,
109785,4596,166,
109819,4015,168,
109907,4020,169,
110097,4017,172,
110185,4228,N/A,
110246,4226,165,
110334,4084,173,
110361,4094,175,
110370,4031,176,
110404,4034,182,
110413,4088,183,
110422,4038,188,
110486,4110,201,
110495,4713,435,
110510,4099,205,
110529,4082,202,
110538,4048,212,
110547,4098,203,
110556,4312,266,
110565,4589,355,
110574,4011,154,
110583,4389,302,
110592,4399,320,
110608,4707,400,
110617,4671,382,
110635,4833,444,
110644,4834,454,
110653,4859,446,
110662,4837,448,
110671,4839,456,
110680,4836,459,
110699,942,N/A,
110705,4835,452,
110714,4860,460,
110918,4123,189,
111081,4049,181,
111188,4035,184,
111434,4109,213,
111461,N/A,419,
111887,4083,206,
111896,4027,192,
111920,4725,207,
111939,4046,208,
111948,4047,210,
111966,4982,222,
112075,4069,227,
112084,4150,211,
112172,4051,218,
112190,4052,220,
112260,4054,224,
112385,933,193,
112394,4057,228,
112446,955,N/A,
112561,4108,249,
112570,1247,N/A,
112686,4078,248,
112826,4943,250,
113096,4121,242,
113111,4126,275,
113193,4101,415,
113218,4252,217,
113236,4104,251,
113333,4286,253,
113573,4085,229,
113634,4295,254,
113698,4284,256,
113704,N/A,381,
113856,4296,258,
113980,4302,260,
114114,N/A,389,
114123,4275,N/A,
114266,4273,234,
114354,4457,N/A,
114433,4318,267,
114716,4315,263,
114789,4311,264,
114813,4616,357,
114859,4314,270,
114938,4678,390,
115001,4327,274,
115083,4329,278,
115126,4339,277,
115296,4334,279,
115393,4340,280,
115409,4341,282,
115454,232,N/A,
115728,4059,230,
115755,4345,286,
115773,4346,288,
115861,4358,292,
116439,3356,293,
116475,216,N/A,
116484,3570,N/A,
116712,1362,291,
116846,4876,462,
117052,4655,376,
117104,4264,489,
117140,4381,295,
117168,7248,N/A,
117195,4420,308,
117247,4406,349,
117557,4386,N/A,
117636,4062,294,
117645,4388,300,
117690,4395,312,
117706,4398,318,
117715,4409,319,
117724,4400,322,
117733,4401,324,
117751,4411,303,
117788,4391,304,
117803,4405,N/A,
117867,4404,314,
117894,4396,325,
117928,4421,N/A,
117946,4403,326,
118541,4515,316,
118684,4517,273,
118693,4483,330,
118718,4500,333,
118772,4502,348,
118888,4485,332,
118912,4582,352,
118930,7587,323,
118976,4486,334,
119058,4507,339,
119067,4490,336,
119137,4512,335,
119164,4494,340,
119173,4493,338,
119216,4501,341,
119331,4530,342,
119605,470,N/A,
120184,4063,236,
120254,4581,350,
120290,4579,265,
120342,4584,354,
120403,4394,359,
120421,4591,358,
120537,4614,356,
120768,482,N/A,
120838,N/A,361,
120865,4600,362,
120883,4065,240,
120953,4603,364,
120971,4602,366,
121044,4604,368,
121150,4630,373,
121257,4619,363,
121309,4605,370,
121363,4608,374,
121619,4689,416,
121691,4848,464,
121707,4100,245,
121886,4663,379,
121901,4658,378,
122180,4670,380,
122205,4747,383,
122296,4750,412,
122339,4681,396,
122375,4735,337,
122384,4728,N/A,
122409,4682,398,
122436,4849,394,
122454,4036,186,
122506,4744,403,
122597,4684,404,
122612,4850,466,
122658,4706,436,
122685,2052,N/A,
122728,4756,417,
122746,4686,408,
122755,4687,410,
122791,4070,244,
122889,4690,418,
122931,4851,468,
122977,4691,420,
123013,4692,422,
123165,4693,426,
123217,4071,246,
123280,4717,N/A,
123299,4696,428,
123341,4697,429,
123457,4698,430,
123484,4087,247,
123509,4746,440,
123527,4679,392,
123554,4675,386,
123563,4930,474,
123572,4723,431,
123651,4701,432,
123800,4726,437,
123943,4392,N/A,
123961,4852,470,
124113,4820,438,
124292,4828,425,
125028,4931,476,
125091,4932,475,
125170,7711,174,
125462,4056,226,
125471,4964,483,
125499,4958,479,
125727,4950,478,
125763,4952,480,
125897,4955,481,
126030,1116,N/A,
126049,1185,N/A,
126076,1331,N/A,
126119,4994,482,
126182,4001,496,
126207,4204,505,
126289,4014,497,
126359,928,6672,
126401,934,N/A,
126562,4875,533,
126580,4874,535,
126614,4841,532,
126669,4659,523,
126678,4072,498,
126702,7150,N/A,
126711,4112,501,
126748,4665,525,
126775,4073,500,
126818,4075,504,
126827,4133,515,
126863,969,491,
126942,4137,511,
127024,3948,N/A,
127060,4842,534,
127185,4310,510,
127200,4119,507,
127389,4382,514,
127556,4484,518,
127565,4505,519,
127617,444,544,
127653,908,N/A,
127699,5354,N/A,
127714,476,N/A,
127732,4537,520,
127741,4074,502,
127778,4588,522,
127787,349,4750,
127820,4291,509,
127884,4634,492,
127909,4130,508,
127918,4656,526,
127945,1943,5359,
128106,4611,524,
128151,N/A,6109,
128258,4821,528,
128328,4830,530,
128391,4946,536,
128498,3001,549,
128577,3656,N/A,
128683,3121,N/A,
128744,3914,602,
128771,3898,596,
128780,870,N/A,
128902,3284,556,
129020,3915,604,
129215,3966,616,
129242,3390,560,
129367,3421,561,
129525,3436,606,
129534,921,N/A,
129543,3446,563,
129686,1791,N/A,
129695,3544,569,
129729,3550,570,
129756,3551,584,
129774,3528,572,
129808,3558,573,
129941,3663,576,
130004,3677,577,
130040,3652,578,
130110,3699,N/A,
130183,3698,580,
130217,3716,554,
130226,3712,582,
130253,3780,N/A,
130314,3754,588,
130396,986,590,
130493,3662,593,
130590,3899,598,
130606,3897,608,
130624,5807,600,
130697,3959,614,
130776,3350,558,
130794,3987,618,
130891,5169,631,
130907,5201,637,
130916,5204,633,
130934,5153,630,
130943,5811,634,
130989,5255,632,
131098,5894,636,
131113,5925,635,
131159,5007,648,
131283,5104,654,
131399,5929,695,
131450,5240,662,
131496,5244,668,
131520,5297,674,
131876,5796,696,
132268,3017,N/A,
132338,5040,6037,
132408,5209,N/A,
132471,5053,718,
132602,5061,720,
132657,5437,706,
132693,5073,769,
132709,5074,768,
132851,5127,721,
132903,5233,735,
133021,5106,722,
133085,5142,715,
133386,5159,723,
133492,5223,731,
133508,5191,727,
133526,5182,724,
133553,5190,725,
133650,5215,726,
133669,5229,729,
133702,5232,717,
133711,5235,772,
133809,5216,728,
133881,5080,716,
133951,5206,776,
133960,5236,747,
133979,5217,730,
134079,5218,732,
134097,5219,734,
134130,5812,758,
134149,5171,775,
134343,5271,738,
134495,5304,6394,
134510,5306,5471,
134608,5322,774,
134811,5327,6118,
134909,2145,N/A,
134945,5331,740,
135063,5343,765,
135081,7004,N/A,
135160,5377,766,
135188,5376,737,
135391,5427,741,
135610,4598,749,
135726,5815,760,
136066,529,N/A,
136145,5503,743,
136172,5490,711,
136206,5162,6736,
136215,5514,6706,
136233,5526,745,
136288,742,5595,
136330,5553,739,
136358,5531,744,
136400,5562,N/A,
136473,5535,746,
136516,5548,757,
136774,5573,6724,
136950,5572,748,
137032,5638,755,
137078,5606,752,
137096,5653,778,
137148,6491,N/A,
137209,5662,779,
137272,5650,N/A,
137281,5641,753,
137315,5666,759,
137351,5828,761,
137476,5076,719,
137546,5630,756,
137564,5621,754,
137713,N/A,714,
137759,5794,713,
137777,514,N/A,
137801,428,5147,
137847,5819,762,
137962,N/A,4876,
138187,5869,736,
138275,637,777,
138293,5893,773,
138354,5833,771,
138558,5001,781,
138600,5002,780,
138691,5026,783,
138716,5004,782,
138761,5009,784,
138789,5012,786,
138813,5429,859,
138840,5030,N/A,
138868,5029,785,
138901,5725,843,
139010,5062,797,
139074,5070,827,
139144,5059,798,
139153,5082,842,
139199,5066,800,
139205,5068,801,
139250,5078,802,
139278,6342,N/A,
139311,5145,803,
139366,5123,807,
139393,6124,3951,
139463,5167,809,
139579,5157,N/A,
139621,5200,799,
139630,5184,808,
139658,5187,810,
139700,5237,879,
139719,5220,814,
139746,5263,N/A,
139755,5248,818,
139764,5250,824,
139861,5252,828,
139931,5253,830,
139940,5251,826,
139959,5813,872,
139968,5256,832,
139986,5670,N/A,
140012,5168,N/A,
140164,5359,833,
140234,5362,834,
140252,7006,845,
140331,5441,N/A,
140340,N/A,817,
140447,5409,838,
140553,5415,792,
140696,5521,850,
140720,5530,852,
140818,5537,853,
140872,5568,856,
140942,3741,N/A,
140951,5631,855,
140960,5609,858,
140988,5616,860,
141060,5628,794,
141097,5626,865,
141167,5072,N/A,
141185,5799,868,
141237,5798,870,
141264,5855,874,
141325,5895,876,
141334,5900,878,
141361,5990,880,
141468,4324,N/A,
141486,4105,898,
141565,4869,904,
141574,4867,902,
141644,4352,900,
141680,4350,905,
141796,4377,906,
141802,4378,907,
141811,4410,908,
141839,4510,909,
141981,1042,N/A,
141990,4976,N/A,
142090,891,N/A,
142115,4018,914,
142179,975,919,
142276,4355,918,
142285,4843,928,
142294,4060,916,
142328,4385,920,
142337,3596,N/A,
142443,4539,922,
142461,4544,924,
142522,4657,926,
142559,4114,915,
142887,1013,N/A,
142957,1031,999,
143048,1713,1136,
143084,1025,946,Yes
143118,1027,950,Yes
143215,1057,954,
143279,1483,1082,
143288,1065,958,
143297,N/A,956,
143358,1070,960,
143613,1982,1170,
144005,1118,992,
144050,1832,1152,
144157,1910,978,
144166,1144,972,
144175,1584,974,
144184,1111,970,
144193,1093,971,
144218,1925,980,
144281,1135,1002,
144351,1140,1004,Yes
144564,1160,1010,
144740,1165,1012,
144865,1083,1003,
144883,798,984,
144892,1199,1016,
144944,1203,1018,
144962,1204,1020,Yes
144971,1206,1022,Yes
145336,807,N/A,
145354,N/A,1171,
145372,1256,1032,Yes
145460,940,6641,
145497,817,1045,
145521,1233,1029,
145600,1851,1155,
145619,1707,1132,
145628,1317,N/A,
145637,1836,1154,
145646,1320,1044,
145682,1312,1035,
145691,1315,1034,Yes
145725,1318,1040,
145813,1319,1042,
145831,1397,1056,
146010,3363,N/A,
146205,1357,1017,
146278,1374,1019,
146296,1346,1048,
146339,1351,1101,
146348,1380,1053,
146366,1108,964,
146393,1366,1050,
146418,N/A,1051,
146427,1372,1052,Yes
146472,1983,1005,
146481,1392,1054,Yes
146506,1424,1055,
146533,155,1057,
146603,623,1038,
146612,1404,1058,Yes
146667,1405,1060,
146676,1406,1062,
146685,1428,1061,
146700,3055,N/A,
146719,1412,1064,
146816,1520,1073,
146825,1435,1068,
147004,1525,1075,
147013,1456,1076,Yes
147129,1503,1078,
147165,3329,4755,
147244,1470,1080,Yes
147341,1484,1084,Yes
147369,1486,1088,
147378,1524,1087,
147396,1269,987,
147411,1489,1090,
147536,1551,1094,
147590,1567,1095,
147660,1555,1096,Yes
147679,1556,1098,Yes
147703,1559,1102,
147749,N/A,981,
147767,1565,1106,
147776,1090,993,
147800,1573,1104,
147828,1596,1112,Yes
147916,1619,1015,
148007,1077,959,
148016,1630,1118,Yes
148131,1645,1120,Yes
148177,2908,6863,
148256,1673,1091,
148292,738,1008,
148335,1670,1121,
148380,1674,1123,
148405,1665,1122,Yes
148487,1666,1124,
148496,1667,1126,Yes
148511,3262,1117,
148575,1756,1138,
148584,1130,1000,Yes
148593,N/A,1167,
148627,1708,1134,
148654,834,1137,
148672,1780,1127,
148821,882,1173,
148876,697,968,
148937,1777,1161,
148982,1128,1130,
148991,1154,961,
149028,N/A,6432,
149222,1726,1144,
149231,1759,1147,
149329,7009,N/A,
149365,1806,1148,
149505,1820,1165,Yes
149514,1810,1150,
149532,1821,1151,
149639,1872,1156,
149727,1938,1159,
149763,1927,5032,
149772,1900,1158,
149781,1905,1160,
149842,1932,1163,
150048,1015,1175,
150066,1016,1174,
150136,1051,1176,
150145,1079,1178,
150163,1073,1180,
150172,1776,1245,
150400,1166,1184,
150455,1195,1186,
150534,1208,1188,
150604,1228,1194,
150668,1251,1196,
150677,1252,1198,
150756,1290,1200,
150774,1309,1203,
150941,1304,1202,
151102,1336,1217,
151111,1325,1214,
151263,1321,1204,
151290,1323,1208,
151306,1335,1207,
151324,1322,1206,
151333,1337,1219,
151342,1339,1225,
151351,1324,1210,
151360,1338,1218,
151379,1314,1229,
151388,1194,1216,
151458,1330,N/A,
151494,7025,N/A,
151500,650,N/A,
151519,640,N/A,
151661,3058,N/A,
151777,1440,1222,
151786,1442,1224,
151801,1446,1226,
151810,1379,N/A,
151944,3140,N/A,
151962,644,1205,
152080,1841,1252,
152099,1585,1228,
152248,1638,1233,
152266,1640,1231,
152318,1668,1232,
152336,1693,1238,
152363,1697,1240,
152381,1704,1242,
152390,1702,1244,
152497,1761,1241,
152530,1802,1248,
152567,1811,1250,
152600,1874,1256,
152637,1877,1258,
152673,1895,1260,
152798,N/A,1273,
152822,7302,1267,
152992,6046,1276,
153001,6047,1278,
153108,6087,1284,
153126,6099,1290,
153144,6101,1294,
153162,6119,1296,
153214,6177,1272,
153241,6174,1286,
153250,6171,1301,
153269,6168,1302,
153278,6869,1358,
153296,N/A,1306,
153302,1215,1371,
153320,6214,1315,
153366,6249,1314,
153375,6251,1316,
153384,6252,1318,
153427,1588,N/A,
153445,6288,1309,
153472,6312,1269,
153524,6217,1312,
153533,6196,1310,
153603,6306,1320,
153621,6308,1324,
153658,6681,1356,
153825,6370,1328,
153834,6375,1330,
153861,4497,1317,
153922,6394,1332,
153977,N/A,1347,
154004,6415,1338,
154013,6417,1340,
154022,6418,1342,
154059,6400,1336,
154095,6307,1322,
154101,6490,1346,
154110,6751,1265,
154129,1359,1375,
154156,1767,N/A,
154174,6593,1349,
154235,6617,1352,
154350,6650,1354,
154378,6048,1280,
154396,6122,1298,
154493,6885,1360,
154518,6925,1362,
154572,6950,1369,
154590,6943,1372,
154642,6305,1424,
154688,6031,1386,
154712,6056,1444,
154721,6034,1388,
154749,6037,1390,
154776,3366,4757,
154794,N/A,1391,
154800,6191,1406,
154855,6088,1394,
154907,6137,1401,
154925,6102,1398,
154934,6129,1399,
154952,6008,1384,
154998,6166,1402,
155007,6167,1404,
155025,6335,1430,
155061,6218,1408,
155070,6228,1411,
155089,6224,1412,
155098,6219,1410,
155104,6246,1414,
155140,N/A,1415,
155177,6274,1416,
155186,6276,1418,
155195,6281,1420,
155201,6304,1422,
155210,6325,1425,
155292,6333,1426,
155308,5937,1478,
155317,6871,1470,
155335,6615,1452,
155399,6334,1428,
155414,6337,1434,
155450,6576,1448,
155496,6392,1436,
155511,6404,1440,
155520,6437,1445,
155566,6093,1396,
155593,N/A,1451,
155618,N/A,5574,
155627,6547,1446,
155681,6336,1449,
155715,6581,1450,
155812,6630,1458,
155858,286,1439,
155900,6670,1464,
155937,6684,1466,
155973,6815,1468,
156082,6928,1474,
156125,6884,1472,
156189,1098,1502,
156213,1019,1486,
156231,703,1564,
156286,1056,1490,
156295,1060,1492,
156356,1071,1498,
156365,1097,1500,
156408,1109,1506,
156541,1145,1510,
156620,1200,1512,
156648,1211,1513,
156745,1249,1514,
156790,815,1572,
156851,1307,1557,
156860,1274,1569,
156903,669,N/A,
156921,1328,1571,
157021,987,N/A,
157030,1384,N/A,
157058,1368,1516,
157076,1369,1518,
157085,1837,1554,
157100,1377,1523,
157207,N/A,1525,
157216,1409,1522,
157270,1501,N/A,
157289,1838,1556,
157304,1606,1533,
157331,693,1527,
157377,1467,1528,
157386,1487,1530,
157401,1494,1532,
157447,1574,1566,
157483,1620,1538,
157553,869,1541,
157632,1690,1542,
157696,N/A,1505,
157711,1779,1570,
157739,1770,1555,
157757,1552,1534,
157793,811,5535,
157809,1876,1560,
157818,1808,1550,
157863,1825,1552,
157951,1901,1562,
158325,N/A,1619,
158334,N/A,1625,
158352,N/A,1599,
158431,787,1573,
158477,6082,1576,
158662,6176,1577,
158802,6164,1578,
159009,6250,1582,
159373,1192,1624,
159382,1632,1589,
159391,6373,1590,
159407,6386,1587,
159416,6355,1593,
159647,6372,1588,
159656,6374,1592,
159717,6403,1594,
159939,6379,1591,
159948,5034,1596,
159966,6221,1580,
159993,6482,1598,
