UNITID,CEEB,ACT,ACI
201928,1984,5570,
201946,3073,N/A,
201964,1088,3249,
201973,777,3247,
202046,1152,3243,
202073,1124,3250,
202134,1221,3270,
202161,3952,N/A,
202170,1085,3281,
202435,2155,N/A,
202480,1834,3342,
202514,1162,3264,
202523,1164,3266,
202648,1191,3377,
202684,814,3257,
202763,1223,3272,
202806,1229,3275,
202903,1238,3325,
202912,1259,3375,
203067,2290,N/A,
203085,1292,3278,
203128,1297,3280,
203155,1822,3352,
203313,7312,N/A,
203331,2264,3373,
203368,1342,3282,
203447,1485,3773,
203456,328,3225,
203474,593,3343,
203483,1434,3361,
203492,683,3354,
203517,1367,3284,
203526,N/A,3224,
203535,1370,3286,
203544,602,3279,
203580,1391,3288,
203599,1422,3277,
203678,754,3359,
203748,1417,3287,
203757,1427,3598,
203775,1439,3289,
203845,1444,3290,
203881,699,3351,
203960,N/A,6321,
204006,1526,3303,
204015,1509,3299,
204024,1463,3294,
204060,1528,3296,
204176,1502,3297,
204185,1492,3298,
204194,1531,3372,
204200,1129,3254,
204255,1535,3305,
204264,1496,3300,
204422,721,3374,
204440,1235,3356,
204468,1566,3302,
204477,N/A,3315,
204486,816,6323,
204501,1587,3304,
204617,1131,3256,
204626,3380,N/A,
204635,1591,3310,
204662,1009,3223,
204671,1541,3237,
204680,744,3306,
204699,N/A,3311,
204705,824,3320,
204796,1592,3312,
204802,N/A,3317,
204820,775,3313,
204839,N/A,3370,
204848,826,3326,
204857,1593,3314,
204866,N/A,3322,
204893,1611,3329,
204909,1594,3316,
204936,1597,3318,
204945,1643,3323,
205027,1348,3321,
205090,N/A,3319,
205124,1660,N/A,
205179,1610,N/A,
205203,1663,3324,
205443,1790,3336,
205470,1720,3332,
205610,3576,N/A,
205841,1688,3345,
205957,1133,3258,
205966,1752,3276,
206002,N/A,3347,
206011,365,3353,
206048,1817,3334,
206084,1845,3344,
206330,1847,3346,
206349,1848,3348,
206437,1926,3349,
206446,318,3367,
206491,1906,3360,
206507,1909,3362,
206525,1922,3364,
206589,1134,3260,
206604,1179,3295,
206613,1947,3371,
206622,1965,3366,
206695,1975,3368,
206817,6030,3380,
206835,6135,3387,
206862,6036,3384,
206914,6080,3386,
206923,1474,3430,
206941,6091,3390,
206996,6117,3392,
207041,6186,3394,
207050,6189,3396,
207069,7324,3398,
207209,6361,3400,
207236,6421,3402,
207263,6485,3408,
207281,6486,3410,
207290,6484,3406,
207306,6493,3412,
207324,6086,3415,
207351,6571,3426,
207388,6546,3424,
207397,1436,3423,
207403,6541,3414,
207449,270,3431,
207458,6543,3416,
207500,6879,3442,
207564,3382,3425,
207661,6545,3420,
207670,1462,3403,
207689,6621,3432,
207722,6544,3418,
207856,1433,3439,
207865,6673,3440,
207935,6839,3441,
207971,6883,3444,
208035,6020,3378,
208239,4231,N/A,
208275,4025,3455,
208318,4090,3457,
208390,4745,3493,
208406,4111,3465,
208415,4089,3461,
208488,4079,3458,
208646,4300,3460,
208725,4274,N/A,
208822,4325,3462,
208965,947,N/A,
209038,4407,3463,
209056,4384,3464,
209065,4387,3466,
209074,4413,3469,
209108,440,N/A,
209241,4491,3472,
209250,4508,3473,
209287,4496,3476,
209409,4543,3478,
209490,4900,N/A,
209506,4587,3484,
209542,4586,3482,
209551,4846,3498,
209603,4504,3477,
209612,4601,3488,
209746,4617,3489,
209807,4610,3492,
209825,4847,3500,
209922,4654,3494,
209940,4653,3490,
210146,4702,3496,
210155,4729,3495,
210234,4825,3497,
210270,4862,3502,
210304,4595,3486,
210331,4956,477,
210359,2152,N/A,
210401,4954,3504,
210429,4585,3480,
210456,2019,N/A,
210492,2002,3727,
210571,2004,3518,
210669,2006,3520,
210739,2021,3525,
210775,2431,3521,
210890,971,N/A,
210942,2033,N/A,
210960,2029,N/A,
211024,2036,3523,
211079,2126,3545,
211088,2039,3524,
211158,2646,3692,
211273,2049,3526,
211291,2050,3528,
211307,2066,3529,
211343,2069,3527,
211352,2071,3532,
211361,2647,3694,
211431,2421,3638,
211440,2074,3534,
211468,2079,3536,
211477,1061,N/A,
211556,2081,3538,
211583,2082,3540,
211608,2648,3696,
211617,3386,N/A,
211635,2132,N/A,
211644,2649,3698,
211802,2128,N/A,
211893,2100,N/A,
211909,2199,N/A,
211927,2125,3542,
211981,2510,3551,
212009,2186,3550,
212054,2194,3556,
212090,2201,N/A,
212106,2196,3560,
212115,2650,3700,
212133,2220,3562,
212160,2651,3702,
212197,2225,3568,
212568,2247,N/A,
212577,2261,3574,
212601,2270,3576,
212656,2273,3578,
212674,2275,3580,
212805,2277,3582,
212832,2278,3583,
212869,2287,3588,
212878,2309,3589,
212911,2289,3590,
212984,2297,3592,
212993,7309,N/A,
213011,2320,3596,
213020,2652,3704,
213163,2337,N/A,
213233,1542,N/A,
213251,2341,3600,
213303,2351,3602,
213321,2353,3604,
213349,2653,3706,
213358,2379,3607,
213367,2363,3608,
213376,2373,3605,
213385,2361,3606,
213400,2388,3707,
213507,2364,3610,
213525,2381,3611,
213543,2365,3612,
213570,2741,N/A,
213598,2367,3614,
213613,2654,3708,
213659,2382,3616,
213668,2372,3622,
213774,2260,3628,
213783,2655,3710,
213826,2407,3626,
213932,2473,N/A,
213987,2410,3629,
213996,2411,3630,
214041,2656,3712,
214069,2087,3539,
214111,2445,3641,
214148,2417,3632,
214157,2418,3634,
214166,2420,3635,
214175,2424,3640,
214272,2628,3649,
214379,2573,3645,
214564,2645,3654,
214582,2675,N/A,
214625,N/A,3648,
214634,N/A,3662,
214777,2660,3656,
214883,2674,3659,
214944,380,N/A,
215062,2926,3732,
215099,2666,3668,
215105,2664,3664,
215114,2661,3658,
215132,2663,3671,
215239,2682,3543,
215266,2935,3731,
215275,2936,3733,
215284,2934,3735,
215293,2927,3734,
215309,2937,3737,
215381,652,N/A,
215415,382,N/A,
215442,2676,3530,
215479,2693,N/A,
215585,2743,3718,
215594,2772,N/A,
215655,2769,3674,
215691,2763,3676,
215743,2797,3682,
215770,2801,3684,
215798,2808,3686,
215929,2929,3736,
215947,2812,3688,
215974,2836,N/A,
216010,2657,3714,
216038,2658,3716,
216162,2852,N/A,
216278,2820,3720,
216287,2821,3722,
216296,560,N/A,
216311,1037,N/A,
216339,2906,3724,
216357,2910,3730,
216366,2903,N/A,
216427,1572,N/A,
216436,734,N/A,
216524,2931,3738,
216542,2579,3643,
216551,2955,3740,
216597,2959,3744,
216630,2973,N/A,
216649,2973,N/A,
216667,2967,3746,
216694,2969,3748,
216764,2659,3750,
216773,2983,N/A,
216807,2975,3752,
216825,2968,3754,
216852,2642,3652,
216931,2977,3756,
217013,2979,3758,
217040,1657,N/A,
217059,2991,3762,
217165,3095,3802,
217235,3465,3804,
217305,339,N/A,
217402,3693,3806,
217420,3724,3810,
217475,3733,3811,
217484,3919,3818,
217493,3726,3812,
217518,3729,3814,
217536,3759,3816,
217572,3797,N/A,
217615,5037,3824,
217624,5006,3830,
217633,5008,3832,
217688,5079,3833,
217712,8492,6114,
217721,5056,3834,
217749,5065,3836,
217776,5896,3837,
217819,5113,3846,
217837,5095,3839,
217864,5108,3838,
217873,5109,3840,
217882,5111,3842,
217891,5743,N/A,
217907,5112,3844,
217925,5116,3848,
217934,5117,3850,
217961,5121,3852,
217989,5744,N/A,
217998,5188,3854,
218025,5207,3857,
218061,5442,3856,
218070,5222,3858,
218140,5305,3867,
218229,5363,3860,
218238,5366,3862,
218335,5407,6440,
218353,5584,3869,
218399,5418,3868,
218414,5493,3870,
218441,5498,3872,
218487,5527,3865,
218520,5550,3829,
218539,5540,3874,
218645,5840,3879,
218663,5818,3880,
218672,5849,3859,
218681,5847,3881,
218690,5821,3885,
218706,5846,3875,
218724,5837,3843,
218733,5618,3876,
218742,5850,3889,
218821,5627,3878,
218830,5668,3825,
218858,5665,N/A,
218885,5789,3883,
218894,5049,3871,
218919,5863,3882,
218955,5892,N/A,
218964,5910,3884,
218973,5912,3886,
218991,5989,3887,
219000,6015,3902,
219046,6042,3904,
219055,6149,3903,
219082,6247,3910,
219091,6155,3906,
219170,N/A,3917,
219189,7038,N/A,
219198,6416,3914,
219204,6464,3915,
219259,6487,3916,
219277,1430,N/A,
219295,6582,3918,
219338,N/A,3911,
219347,6652,3922,
219356,6653,3924,
219374,7328,3921,
219383,6651,3920,
219408,3403,N/A,
219426,7054,N/A,
219471,6881,3928,
219480,6393,N/A,
219505,2401,3941,
219578,7318,3942,
219602,1028,3944,
219639,N/A,3949,
219709,1058,3946,
219718,1063,3948,
219790,1908,4038,
219806,1102,3950,
219824,1084,4041,
219833,1121,3952,
219879,2848,3955,
219888,1081,3953,
219949,1146,3954,
219976,1161,3956,
220002,7325,N/A,
220057,7323,3969,
220075,1198,3958,
220181,1224,3960,
220206,1232,3961,
220215,1230,3962,
220312,1298,3966,
220400,2266,3967,
220464,539,3965,
220473,1345,3968,
220516,1371,3970,
220552,711,5559,
220598,1395,3976,
220604,1403,3980,
220613,1401,3978,
220631,1408,3982,
220701,1449,3986,
220710,1454,3988,
220792,1458,N/A,
220808,1511,3991,
220862,1459,3992,
220978,1466,3994,
221014,1469,3996,
221096,1543,4003,
221184,850,3983,
221254,1545,N/A,
221351,1730,4008,
221397,1656,3985,
221485,N/A,4004,
221519,1842,4024,
221661,1727,4006,
221670,1725,N/A,
221731,1805,4014,
221740,1831,4022,
221759,1843,4026,
221768,1844,4032,
221795,446,N/A,
221838,1803,4010,
221847,1804,4012,
221856,1818,4013,
221892,1809,4016,
221908,N/A,4019,
221953,1812,4018,
221971,1826,4020,
221999,1871,4036,
222053,1881,4037,
222062,1893,4028,
222105,N/A,4042,
222178,6001,4050,
222567,6005,4054,
222576,6006,4056,
222628,6140,4073,
222822,6025,4057,
222831,6644,4164,
222877,6039,N/A,
222938,8271,N/A,
222983,6016,4058,
222992,6759,4059,
223083,4243,6088,
223117,7042,N/A,
223232,6032,4062,
223320,6055,4064,
223427,6043,4068,
223506,6054,4067,
223524,6070,4053,
223773,6148,4087,
223816,6130,4081,
223898,6096,4074,
223922,6097,4076,
224004,6127,4124,
224110,6245,4094,
224226,6159,4080,
224244,792,6064,
224271,7032,4077,
224323,6868,4234,
224350,6160,4082,
224527,6187,4086,
224545,6206,N/A,
224554,6188,4088,
224572,6201,4085,
224615,6199,4079,
224642,6203,4090,
224776,N/A,4075,
224891,6222,4092,
224961,6255,4103,
225070,6254,4095,
225247,6268,4096,
225308,6271,4098,
225371,6285,4099,
225399,6282,4101,
225414,6916,N/A,
225423,929,4105,
225432,6922,4170,
225502,6917,N/A,
225511,6870,4236,
225548,6278,4102,
225575,6280,4104,
225627,6303,4106,
225858,3573,N/A,
225876,6317,4108,
225885,6319,4110,
226019,6341,4112,
226091,6360,4114,
226107,1694,N/A,
226116,6589,6551,
226134,6362,4116,
226204,6363,4118,
226231,6365,4120,
226277,3059,N/A,
226383,6378,4123,
226408,6133,4084,
226471,6396,4128,
226578,6429,4131,
226587,6402,4130,
226806,6459,4127,
226833,6408,4132,
226930,6438,4089,
227146,6465,4134,
227191,6519,4141,
227216,6481,4136,
227225,6531,4147,
227243,6499,4135,
227304,6540,4138,
227331,6550,4140,
227368,6570,4142,
227386,6572,4144,
227401,6573,4146,
227429,6577,4148,
227526,6580,4202,
227687,6608,4150,
227757,6609,4152,
227766,6607,4153,
227845,6619,4156,
227854,6642,4160,
227863,6880,4238,
227881,6643,4162,
227924,6645,4166,
227979,6694,4167,
228042,6647,4168,
228149,6637,4158,
228158,6695,4169,
228246,6660,4174,
228316,6666,4176,
228325,6669,4182,
228343,6674,4186,
228431,6682,4188,
228459,6667,4178,
228468,6671,4184,
228486,6705,4183,
228501,6685,4190,
228529,6817,4204,
228608,6818,4192,
228635,273,N/A,
228644,6908,4247,
228653,6887,N/A,
228680,6328,4109,
228699,6819,4194,
228705,6822,4212,
228723,6003,4198,
228769,6013,4200,
228778,6882,4240,
228787,6897,4243,
228796,6829,4223,
228802,389,4231,
228866,N/A,4205,
228875,6820,4206,
228884,6821,4210,
228981,6823,4214,
229018,448,4225,
229027,6919,4239,
229063,6824,4216,
229115,6827,4220,
229160,6828,4222,
229179,6826,4224,
229267,6831,4226,
229300,6906,N/A,
229319,6843,4229,
229337,3423,N/A,
229355,6833,4228,
229504,6913,4242,
229540,6915,4244,
229780,6930,4246,
229799,6931,4248,
229814,6938,4250,
229832,6951,4172,
229841,6939,4252,
229887,6940,4254,
230038,4019,4266,
230047,4106,899,
230171,4283,4272,
230418,4412,4270,
230597,4727,4273,
230603,4092,4271,
230621,4751,4286,
230630,N/A,4288,
230728,4857,4276,
230737,4870,4278,
230764,4853,4274,
230782,4941,4282,
230807,4948,4284,
230816,3080,4296,
230825,1119,4329,
230834,3765,4314,
230852,3291,4298,
230861,3286,4299,
230889,3416,4300,
230898,3418,4302,
230913,3766,4316,
230931,3767,4318,
230940,3509,4304,
230959,3526,4306,
230977,3405,N/A,
230995,3669,4308,
231059,3757,4312,
231068,974,6270,
231077,3297,4320,
231086,3796,4310,
231095,3752,6946,
231165,3941,4323,
231174,3920,4322,
231420,5017,4338,
231536,5083,4341,
231554,5063,4340,
231581,5069,4342,
231624,5115,4344,
231697,5141,4354,
231712,5128,4345,
231785,3707,4371,
231828,4762,N/A,
231873,5139,4349,
231882,5163,4355,
232025,5185,4350,
232043,5181,4348,
232052,5844,N/A,
232089,5213,4352,
232186,5827,4357,
232195,5276,4359,
232256,5291,4356,
232265,5292,4358,
232308,5294,4360,
232414,5676,4362,
232423,5392,4370,
232450,5342,4363,
232502,N/A,6028,
232557,5385,4364,
232566,5368,4366,
232575,5381,4377,
232609,5372,4368,
232618,5379,N/A,
232672,5397,4374,
232681,5398,4414,
232706,5405,4378,
232724,5448,N/A,
232788,5451,4376,
232867,5513,4361,
232937,5864,4425,
232946,5515,N/A,
232982,5126,4347,
233019,5549,4415,
233037,5557,N/A,
233082,5547,N/A,
233116,5561,4384,
233277,5565,4422,
233295,5566,4386,
233301,5567,4388,
233310,5590,4390,
233338,5574,4346,
233374,5569,4410,
233426,5571,4392,
233541,5613,4396,
233611,5625,4400,
233639,5660,4337,
233648,5659,4401,
233718,5634,4406,
233754,5793,4407,
233772,5226,4353,
233897,5124,4343,
233903,5927,4433,
233921,5859,4420,
233949,5868,4351,
234030,5570,4379,
234076,5820,4412,
234085,5858,4418,
234137,N/A,4426,
234155,5860,4424,
234164,5862,4428,
234173,5867,4429,
234207,5887,4430,
234377,5917,4431,
234492,4805,N/A,
234669,4029,4441,
234711,4024,4442,
234827,4044,4444,
234845,4045,4446,
234915,4042,N/A,
234933,4055,4448,
234979,4077,4452,
235024,58,4501,
235097,4301,4454,
235103,4307,4455,
235149,4303,4456,
235167,4292,4457,
235237,4103,4469,
235316,4330,4458,
235334,4332,4460,
235343,4337,4461,
235422,4344,4462,
235431,4348,4463,
235529,7027,N/A,
235699,1453,N/A,
235750,4402,4464,
235769,4408,4453,
236072,4554,4467,
236133,4541,4466,
236188,4583,4468,
236230,4597,4470,
236258,4615,4472,
236328,4067,4450,
236452,4674,4474,
236504,4759,4473,
236513,4741,4475,
236577,4694,4476,
236595,4695,4478,
236610,4738,4479,
236638,4699,4480,
236656,4578,N/A,
236692,4739,4481,
236708,4752,4477,
236753,4826,4485,
236887,4963,4487,
236896,4940,4486,
236939,4705,4482,
236948,4854,4484,
236975,4942,4488,
237011,4947,4490,
237039,1275,4491,
237057,4951,4492,
237066,4953,4494,
237109,4993,4496,
237118,5005,4508,
237136,7305,4507,
237181,5060,4512,
237215,5064,4514,
237312,5419,4528,
237330,5120,4516,
237358,5151,4518,
237367,5211,4520,
237385,5254,4522,
237437,7310,N/A,
237525,5396,4526,
237598,N/A,6248,
237604,N/A,4550,
237640,5519,4548,
237686,5932,4542,
237701,5539,4529,
237783,5608,4530,
237792,5615,4532,
237817,770,4525,
237899,5903,4538,
237932,5901,4534,
237950,5902,4536,
237969,5905,4544,
237987,N/A,4537,
238014,674,4535,
238032,5904,4540,
238078,5906,4546,
238193,1012,4558,
238263,1536,4615,
238333,1059,4564,
238430,1100,4568,
238458,1101,4570,
238476,1103,4571,
238616,1139,4574,
238661,1202,4582,
238722,747,4556,
238759,761,N/A,
238980,1393,4592,
239008,618,4618,
239017,1398,4596,
239071,2732,4604,
239080,1443,4606,
239105,1448,4610,
239169,1911,N/A,
239220,635,4683,
239248,N/A,4614,
239309,1506,4701,
239318,1476,4616,
239372,667,4583,
239390,1490,4620,
239442,713,4646,
239460,735,4663,
239488,4190,4585,
239503,N/A,4623,
239512,1561,4624,
239628,1664,4636,
239716,1706,4644,
239743,1300,4586,
239910,900,4639,
239929,3617,4628,
240107,1878,4662,
240116,786,4581,
240125,724,4671,
240170,1087,4573,
240189,1921,4684,
240198,1580,N/A,
240268,1913,4670,
240277,1859,4688,
240329,1914,4672,
240338,1513,4699,
240365,1916,4674,
240374,1860,4690,
240392,388,4557,
240417,1740,4652,
240426,1920,4682,
240444,1846,4656,
240453,1473,4658,
240462,1917,4676,
240471,1918,4678,
240480,1919,4680,
240505,4043,4998,
240514,4115,4999,
240596,4700,5000,
240620,360,5003,
240657,4542,5004,
240666,4536,5002,
240693,4957,5005,
240727,4855,5006,
240736,20,N/A,
240745,2302,N/A,
240754,959,N/A,
240790,781,N/A,
241225,840,N/A,
241304,2315,N/A,
241377,779,N/A,
241410,910,N/A,
241739,1519,N/A,
241766,1115,N/A,
242112,3406,N/A,
242617,946,N/A,
242626,2042,N/A,
242644,2067,N/A,
242653,873,N/A,
242680,2065,N/A,
242699,2077,N/A,
242705,2043,N/A,
243106,983,N/A,
243115,911,N/A,
243133,852,N/A,
243142,3891,N/A,
243151,981,N/A,
243160,979,N/A,
243179,874,N/A,
243188,685,N/A,
243197,912,N/A,
243212,836,N/A,
243221,979,N/A,
243346,883,N/A,
243443,913,N/A,
243638,115,N/A,
243665,879,N/A,
243744,4704,434,
243780,1631,1230,
243823,5861,N/A,
243841,7315,N/A,
244011,3571,N/A,
244154,3605,N/A,
244190,5081,629,
244437,5711,806,
244446,3226,811,
245625,2722,N/A,
245652,4737,2649,
245838,1862,N/A,
245847,3071,N/A,
245883,3070,N/A,
245953,918,4097,
246354,3730,4263,
246813,462,823,
247603,2711,N/A,
247649,81,4333,
247773,7010,N/A,
247825,N/A,4117,
247834,1951,4046,
247940,N/A,1519,
248882,5360,N/A,
251251,7311,N/A,
251260,1728,40,
251312,5097,N/A,
260372,7351,N/A,
260974,4271,N/A,
260992,N/A,943,
262129,5506,750,
363633,N/A,2628,
364016,2179,177,
364025,535,97,
366252,2989,3757,
366261,N/A,4069,
366340,7044,N/A,
366401,6507,N/A,
